file1,file2,cloneAmount
ExpressionFunctionPower.java,TestDBMetaData.java,0
TestMoneyRounding.java,ExpressionFunction.java,0
ExpressionFunctionTimestampDiff.java,MutableLong.java,0
ExpressionFunctionInsert.java,ExpressionFunctionLength.java,0
ExpressionFunctionTruncate.java,Lobs.java,0
ExpressionFunctionDayOfYear.java,TestDataTypes.java,0
IndexDescriptions.java,IndexNode.java,0
TestScrollable.java,SSPreparedStatement.java,0
SQLParser.java,ExpressionFunctionYear.java,0
ExpressionFunctionSpace.java,Lobs.java,0
ExpressionFunctionACos.java,Lobs.java,0
ExpressionFunctionATan.java,StorePageLink.java,0
StorePageMap.java,ExpressionFunctionLocate.java,0
ExpressionFunctionSqrt.java,ExpressionFunctionTimestampAdd.java,0
SortedResult.java,TestThreads.java,0
DataSource.java,ExpressionFunctionRight.java,0
SSDatabaseMetaData.java,CommandSelect.java,0
ExpressionFunctionSqrt.java,TestDeleteUpdate.java,0
JoinScroll.java,SmallSQLException.java,0
SSResultSet.java,ExpressionFunctionRight.java,0
UnionAll.java,ExpressionFunctionLTrim.java,0
ExpressionFunctionATan.java,TransactionStep.java,0
LongList.java,TestThreads.java,0
ExpressionFunctionCos.java,SmallSQLException.java,0
StoreNoCurrentRow.java,CommandSet.java,0
Money.java,TestDataTypes.java,0
ExpressionFunctionExp.java,SQLParser.java,0
TableStorePage.java,StorePage.java,0
MutableNumeric.java,ExpressionFunctionSubstring.java,0
UnionAll.java,DataSource.java,0
LongList.java,TestFunctions.java,0
CommandDelete.java,ExpressionFunctionDayOfYear.java,0
ExpressionFunctionRadians.java,MutableDouble.java,0
ExpressionFunctionLog10.java,ExpressionFunctionReturnP1Number.java,0
TableResult.java,MutableLong.java,0
RowSource.java,TableViewMap.java,0
UnionAll.java,ExpressionFunctionLog10.java,0
SortedResult.java,TestFunctions.java,0
DateTime.java,TableResult.java,0
MutableNumeric.java,Identity.java,0
ExpressionFunctionTan.java,DataSources.java,0
IndexDescriptions.java,ExpressionArithmetic.java,0
ExpressionFunctionTimestampAdd.java,CommandLine.java,0
SSCallableStatement.java,Logger.java,0
ExpressionFunctionDegrees.java,SSDatabaseMetaData.java,0
TableView.java,ExpressionFunctionReturnP1Number.java,0
Where.java,TestGroupBy.java,0
ExpressionFunctionReturnFloat.java,CommandTable.java,0
ExpressionFunctionOctetLen.java,ExpressionFunctionDayOfYear.java,0
DataSources.java,CommandDelete.java,0
ExpressionFunctionLeft.java,ExpressionFunctionCos.java,0
IndexNode.java,TestTokenizer.java,0
TestDeleteUpdate.java,StorePageMap.java,0
ExpressionFunctionAbs.java,TableView.java,0
ExpressionFunctionReplace.java,MutableFloat.java,0
MemoryStream.java,Database.java,0
TableStorePageInsert.java,Column.java,0
ExpressionFunctionChar.java,TestExceptions.java,0
ExpressionArithmetic.java,AllTests.java,0
FileIndex.java,ExpressionFunctionDayOfYear.java,0
ExpressionFunctionReturnP1Number.java,CommandSelect.java,0
ExpressionFunctionLCase.java,SSStatement.java,0
Join.java,ExpressionFunctionMod.java,0
Expressions.java,MemoryResult.java,0
ExpressionArithmetic.java,Expressions.java,0
ExpressionFunctionRTrim.java,View.java,0
JoinScrollIndex.java,LongLongList.java,0
CommandTable.java,ExpressionFunctionReturnP1.java,0
ExpressionFunctionTan.java,ExpressionFunctionPower.java,0
TestJoins.java,ExpressionFunctionCos.java,0
UnionAll.java,ExpressionFunctionTruncate.java,0
ExpressionFunctionRight.java,SSStatement.java,0
ExpressionArithmetic.java,ExpressionFunctionSpace.java,0
LongList.java,MutableInteger.java,0
SSDriver.java,BasicTestCase.java,0
IndexDescriptions.java,ExpressionFunctionLength.java,0
TestScrollable.java,MutableNumeric.java,0
SortedResult.java,MutableInteger.java,0
ExpressionFunctionSign.java,CreateFile.java,0
Language_de.java,BasicTestCase.java,0
SSResultSet.java,SSDriver.java,0
JoinScrollIndex.java,CommandLine.java,0
ExpressionFunctionCos.java,Logger.java,0
Database.java,TestOperatoren.java,0
BenchTest.java,StorePage.java,0
ExpressionFunctionASin.java,SSCallableStatement.java,0
LongTreeList.java,ExpressionFunctionSin.java,0
MutableNumeric.java,TestGroupBy.java,0
JoinScroll.java,Logger.java,0
CommandSelect.java,TableStorePage.java,0
DateTime.java,ExpressionFunctionSoundex.java,0
LongLongList.java,StoreNoCurrentRow.java,0
ExpressionFunctionInsert.java,IndexNode.java,0
ExpressionFunctionTimestampAdd.java,LongLongList.java,0
DataSource.java,SSDriver.java,0
ExpressionFunctionTan.java,Where.java,0
Expression.java,ExpressionFunctionMinute.java,0
MutableDouble.java,SSDatabaseMetaData.java,0
Where.java,Identity.java,0
MutableFloat.java,FileIndex.java,0
Store.java,ExpressionFunctionCot.java,0
ExpressionFunctionSin.java,CommandInsert.java,0
LongTreeListEnum.java,ExpressionFunctionLCase.java,0
ExpressionName.java,CommandSet.java,0
MutableLong.java,StorePage.java,0
ExpressionFunctionATan2.java,TableView.java,0
TestThreads.java,SSDatabaseMetaData.java,0
ExpressionFunctionChar.java,Language_en.java,0
ExpressionValue.java,TestLanguage.java,0
ExpressionFunctionUCase.java,Distinct.java,0
ExpressionInSelect.java,ExpressionFunctionLCase.java,0
Lobs.java,ExpressionFunctionUCase.java,0
TestMoneyRounding.java,ExpressionFunctionReturnString.java,0
ExpressionFunctionATan.java,ExpressionFunctionInsert.java,0
TestGroupBy.java,MutableFloat.java,0
Command.java,ViewResult.java,0
TestOrderBy.java,ExpressionFunctionReturnP1Number.java,0
CommandSelect.java,ExpressionFunctionMonth.java,0
SSStatement.java,ExpressionFunctionASin.java,0
GroupResult.java,CommandDrop.java,0
ExpressionFunctionLTrim.java,Money.java,0
TestExceptions.java,Lobs.java,0
ExpressionFunctionYear.java,ExpressionFunctionYear.java,0
ExpressionFunctionInsert.java,ExpressionArithmetic.java,0
TestIdentifer.java,CommandInsert.java,0
DataSources.java,SSConnection.java,0
CommandCreateDatabase.java,StorePage.java,0
Index.java,StoreNull.java,0
RowSource.java,TestJoins.java,0
