file1,file2,nClonePairs,locations
ExpressionFunctionLog.java,ExpressionFunctionSqrt.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionSqrt.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionLog.java|(0,1603,<1,0>,<44,1>)>]"
TestDataTypes.java,ExpressionFunctionRound.java,0,[]
TestDataTypes.java,TestFunctions.java,2,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/junit/TestFunctions.java|(22546,279,<374,26>,<383,5>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/junit/TestDataTypes.java|(3075,279,<68,26>,<77,5>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/junit/TestFunctions.java|(23713,210,<406,47>,<412,5>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/junit/TestDataTypes.java|(13046,219,<327,47>,<333,5>)>]"
ExpressionFunctionATan.java,ExpressionFunctionRepeat.java,0,[]
Language_it.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionHour.java,TestDataTypes.java,0,[]
TableView.java,ExpressionFunctionLCase.java,0,[]
ExpressionFunctionDayOfYear.java,ExpressionFunctionTan.java,0,[]
BasicTestCase.java,ExpressionFunctionRepeat.java,0,[]
Table.java,SSResultSet.java,0,[]
TableView.java,ExpressionArithmetic.java,0,[]
ExpressionFunctionExp.java,ExpressionFunctionDayOfMonth.java,0,[]
ExpressionFunction.java,TestExceptionMethods.java,0,[]
ExpressionFunctionUCase.java,ExpressionFunctionASin.java,0,[]
MutableNumeric.java,ExpressionFunctionYear.java,0,[]
View.java,TestGroupBy.java,0,[]
ExpressionFunctionMonth.java,View.java,0,[]
ExpressionFunctionDayOfMonth.java,ExpressionFunctionCos.java,0,[]
TestOrderBy.java,ExpressionFunctionLCase.java,0,[]
TestOrderBy.java,ExpressionArithmetic.java,0,[]
ExpressionFunctionExp.java,IndexDescription.java,0,[]
Table.java,TestExceptions.java,0,[]
SSPreparedStatement.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionCeiling.java,SSCallableStatement.java,0,[]
ExpressionFunctionExp.java,ExpressionFunctionHour.java,0,[]
TestFunctions.java,ExpressionFunctionATan.java,0,[]
TestExceptionMethods.java,ExpressionFunctionASin.java,0,[]
TestStatement.java,ExpressionFunctionRound.java,0,[]
Language.java,ExpressionFunctionRadians.java,0,[]
View.java,TestTransactions.java,0,[]
SSPreparedStatement.java,TestFunctions.java,0,[]
ExpressionFunctionRadians.java,ExpressionFunctionTruncate.java,0,[]
ExpressionFunctionSin.java,ExpressionFunctionACos.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionSin.java|(0,1603,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionACos.java|(0,1607,<1,0>,<44,1>)>]"
TestGroupBy.java,ExpressionFunctionMinute.java,0,[]
Language_it.java,TestFunctions.java,0,[]
ExpressionFunctionATan.java,View.java,0,[]
ExpressionFunctionExp.java,TestAlterTable.java,0,[]
ExpressionFunctionASin.java,ExpressionFunctionRadians.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionASin.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionRadians.java|(0,1620,<1,0>,<44,1>)>]"
ExpressionFunctionSqrt.java,ExpressionFunctionRepeat.java,0,[]
TestAlterTable2.java,SSStatement.java,0,[]
TestExceptions.java,ExpressionFunctionACos.java,0,[]
ExpressionFunctionACos.java,Utils.java,0,[]
ExpressionFunctionTruncate.java,Utils.java,0,[]
ExpressionFunctionMonth.java,TestExceptionMethods.java,0,[]
TestScrollable.java,IndexScrollStatus.java,0,[]
ExpressionFunctionCeiling.java,ExpressionFunctionHour.java,0,[]
Table.java,Language.java,0,[]
ExpressionFunction.java,View.java,0,[]
TestAlterTable.java,Table.java,0,[]
ExpressionArithmetic.java,ExpressionFunctionTruncate.java,0,[]
TestExceptions.java,Utils.java,0,[]
ExpressionFunctionACos.java,ExpressionFunctionACos.java,0,[]
ExpressionFunctionCeiling.java,TestAlterTable.java,0,[]
ExpressionFunctionTruncate.java,ExpressionFunctionACos.java,0,[]
TestScrollable.java,BenchTest.java,0,[]
TestLanguage.java,TableView.java,0,[]
TestScrollable.java,Index.java,0,[]
ExpressionFunctionATan.java,TestExceptionMethods.java,0,[]
